Month,Year,"OIL COMPANIES","Quantity (000 Metric Tonnes)",last_updated
NA,2023,BORL-BINA,593.53,NA
NA,2023,BPCL-TOTAL,3236.66,NA
NA,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",6.63,NA
NA,2023,"HPCL-VISAKH,ANDHRA PRADESH",844.74,NA
NA,2023,HPCL-TOTAL,2754.96,NA
NA,2023,"RIL,JAMNAGAR,GUJARAT",2841.68,NA
NA,2023,"IOCL-HALDIA, WEST BENGAL",720.08,NA
NA,2023,"IOCL-BONGAIGAON,ASSAM",257.90,NA
NA,2023,"BPCL-KOCHI, KERALA",1464.34,NA
NA,2023,HPCL-TOTAL,2957.93,NA
NA,2023,"RIL TOTAL",5647.78,NA
NA,2023,"IOCL-KOYALI, GUJARAT",1275.12,NA
NA,2023,"IOCL TOTAL",6297.37,NA
NA,2023,"CPCL-MANALI, TAMILNADU",816.58,NA
NA,2023,"NRL-NUMALIGARH, ASSAM",8.30,NA
NA,2023,"HPCL-VISAKH,ANDHRA PRADESH",1049.80,NA
NA,2023,"IOCL-GUWAHATI,ASSAM",94.73,NA
NA,2023,"IOCL TOTAL",6013.25,NA
NA,2023,BPCL-TOTAL,2805.32,NA
NA,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",5.38,NA
NA,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1102.12,NA
NA,2023,HPCL-TOTAL,3103.73,NA
NA,2023,"GRAND TOTAL",21885.12,NA
NA,2022,"IOCL-PARADIP,ODISHA",1327.97,NA
NA,2022,"NRL-NUMALIGARH, ASSAM",270.72,NA
NA,2022,"MRPL-MANGALORE,KARNATAKA",1480.97,NA
NA,2022,"ONGC TOTAL",1487.02,NA
NA,2022,"IOCL-MATHURA, UTTAR PRADESH",812.96,NA
NA,2022,"IOCL-BONGAIGAON,ASSAM",182.52,NA
NA,2022,BPCL-TOTAL,3364.13,NA
NA,2022,"IOCL-MATHURA, UTTAR PRADESH",867.72,NA
NA,2022,"IOCL-PARADIP,ODISHA",1263.58,NA
NA,2022,"IOCL TOTAL",6276.80,NA
NA,2022,"CPCL-MANALI, TAMILNADU",972.61,NA
NA,2022,"BPCL-KOCHI, KERALA",1363.85,NA
NA,2022,BORL-BINA,649.82,NA
NA,2022,"HPCL-VISAKH,ANDHRA PRADESH",781.84,NA
NA,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1078.48,NA
NA,2022,"GRAND TOTAL",21574.57,NA
NA,2022,"IOCL-BARAUNI,BIHAR",558.62,NA
NA,2022,"IOCL-KOYALI, GUJARAT",1303.93,NA
NA,2022,"IOCL-HALDIA, WEST BENGAL",722.08,NA
NA,2022,"IOCL-MATHURA, UTTAR PRADESH",714.64,NA
NA,2022,"IOCL-BONGAIGAON,ASSAM",211.02,NA
NA,2022,"IOCL-PARADIP,ODISHA",1346.24,NA
NA,2022,"IOCL TOTAL",6167.19,NA
NA,2022,CPCL-TOTAL,975.07,NA
NA,2022,"ONGC TOTAL",1433.34,NA
NA,2022,"RIL TOTAL",5482.43,NA
NA,2022,"IOCL-BONGAIGAON,ASSAM",248.88,NA
NA,2022,"IOCL-PARADIP,ODISHA",2.10,NA
NA,2022,"HPCL-MUMBAI,MAHARASHTRA",766.90,NA
NA,2022,HPCL-TOTAL,2342.38,NA
NA,2022,"IOCL-BARAUNI,BIHAR",544.50,NA
NA,2022,"IOCL-KOYALI, GUJARAT",1270.87,NA
NA,2022,BORL-BINA,650.73,NA
NA,2022,BPCL-TOTAL,3067.65,NA
NA,2022,"HMEL-GGSR, BATHINDA, PUNJAB",932.59,NA
NA,2022,"IOCL-HALDIA, WEST BENGAL",724.58,NA
NA,2022,CPCL-TOTAL,723.13,NA
NA,2022,BPCL-TOTAL,2593.06,NA
NA,2022,"RIL TOTAL",4691.26,NA
NA,2022,"NEL-VADINAR,GUJARAT",1716.96,NA
NA,2022,"IOCL-BARAUNI,BIHAR",573.35,NA
NA,2022,"IOCL-BONGAIGAON,ASSAM",244.09,NA
NA,2022,"IOCL TOTAL",5796.21,NA
NA,2022,"BPCL-KOCHI, KERALA",1380.82,NA
NA,2022,"RIL,JAMNAGAR,GUJARAT",2555.92,NA
NA,2022,"GRAND TOTAL",19580.02,NA
NA,2022,"IOCL-DIGBOI,ASSAM",61.96,NA
NA,2022,"BPCL-MUMBAI, MAHARASHTRA",1344.11,NA
NA,2022,BORL-BINA,712.61,NA
NA,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.46,NA
NA,2022,"ONGC TOTAL",1510.51,NA
NA,2022,"HPCL-VISAKH,ANDHRA PRADESH",818.38,NA
NA,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2467.05,NA
NA,2023,"IOCL-HALDIA, WEST BENGAL",704.67,NA
NA,2023,"IOCL-PANIPAT, HARYANA",1334.66,NA
NA,2023,"IOCL TOTAL",6541.94,NA
NA,2023,"BPCL-KOCHI, KERALA",1533.08,NA
NA,2023,"MRPL-MANGALORE,KARNATAKA",1496.59,NA
NA,2023,"ONGC TOTAL",1503.17,NA
NA,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1116.62,NA
NA,2023,"CPCL-MANALI, TAMILNADU",927.88,NA
NA,2023,"MRPL-MANGALORE,KARNATAKA",1392.99,NA
NA,2023,"ONGC TOTAL",1399.11,NA
NA,2023,HPCL-TOTAL,2557.50,NA
NA,2023,"RIL TOTAL",4855.94,NA
NA,2023,"IOCL-BARAUNI,BIHAR",579.97,NA
NA,2023,"IOCL-KOYALI, GUJARAT",1346.06,NA
NA,2023,"IOCL-MATHURA, UTTAR PRADESH",897.88,NA
NA,2023,BORL-BINA,735.71,NA
NA,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2537.59,NA
NA,2023,"GRAND TOTAL",23003.61,NA
NA,2021,"IOCL-BARAUNI,BIHAR",471.00,NA
NA,2021,"IOCL-PANIPAT, HARYANA",1322.00,NA
NA,2021,BORL-BINA,648.00,NA
NA,2021,BPCL-TOTAL,3236.00,NA
NA,2021,"MRPL-MANGALORE,KARNATAKA",1100.00,NA
NA,2021,"HPCL-MUMBAI,MAHARASHTRA",41.00,NA
