Month,Year,Products,"Quantity (000 Metric Tonnes)",updated_date
April,2023,SKO,31.55,2023-12-18
June,2023,LPG,1085.61,2023-12-18
June,2023,MS-VI,2321.12,2023-12-18
July,2023,LPG,1101.04,2023-12-18
July,2023,NAPHTHA,1474.03,2023-12-18
July,2023,ATF,1439.24,2023-12-18
July,2023,LDO,50.04,2023-12-18
July,2023,LSHS,67.61,2023-12-18
April,2022,NAPHTHA,1571.54,2023-12-18
April,2022,"MS Others",1292.50,2023-12-18
April,2022,HSD-VI,6903.99,2023-12-18
April,2022,LUBES,115.53,2023-12-18
April,2022,BITUMEN,547.64,2023-12-18
May,2022,HSD-VI,6898.01,2023-12-18
May,2022,"HSD Others",3221.32,2023-12-18
May,2022,LSHS,66.94,2023-12-18
June,2022,ATF,1179.80,2023-12-18
June,2022,HSD-VI,6858.39,2023-12-18
July,2022,"MS Others",1165.39,2023-12-18
August,2022,MS-VI,2213.92,2023-12-18
August,2022,LDO,38.59,2023-12-18
August,2022,LSHS,53.43,2023-12-18
September,2022,LDO,49.82,2023-12-18
September,2022,FO,814.82,2023-12-18
October,2022,LSHS,49.73,2023-12-18
October,2022,Others,2132.14,2023-12-18
November,2022,LPG,979.95,2023-12-18
November,2022,"HSD Others",2394.05,2023-12-18
November,2022,LSHS,55.21,2023-12-18
December,2022,LPG,1059.84,2023-12-18
December,2022,NAPHTHA,1378.04,2023-12-18
December,2022,ATF,1343.50,2023-12-18
January,2023,SKO,77.73,2023-12-18
January,2023,LDO,70.19,2023-12-18
January,2023,LSHS,63.25,2023-12-18
February,2023,NAPHTHA,1368.98,2023-12-18
February,2023,ATF,1323.31,2023-12-18
February,2023,RPC/Petcoke,1248.80,2023-12-18
February,2023,Others,2539.95,2023-12-18
March,2023,SKO,99.20,2023-12-18
March,2023,"HSD Others",2794.05,2023-12-18
March,2023,Others,2963.41,2023-12-18
April,2023,NAPHTHA,1376.50,2023-12-18
April,2023,HSD-VI,7155.18,2023-12-18
April,2023,LUBES,117.10,2023-12-18
April,2023,RPC/Petcoke,1178.12,2023-12-18
April,2023,Others,2587.04,2023-12-18
May,2023,NAPHTHA,1616.20,2023-12-18
May,2023,MS-VI,2387.98,2023-12-18
May,2023,HSD-VI,7433.14,2023-12-18
June,2023,NAPHTHA,1478.84,2023-12-18
June,2023,"MS Others",1460.75,2023-12-18
June,2023,FO,847.10,2023-12-18
July,2023,"MS Others",1359.02,2023-12-18
July,2023,HSD-VI,6830.01,2023-12-18
July,2023,"HSD Others",2680.62,2023-12-18
July,2023,LUBES,120.06,2023-12-18
April,2022,MS-VI,2347.81,2023-12-18
April,2022,SKO,119.58,2023-12-18
April,2022,RPC/Petcoke,1313.98,2023-12-18
May,2022,NAPHTHA,1511.55,2023-12-18
May,2022,LUBES,104.36,2023-12-18
May,2022,BITUMEN,509.00,2023-12-18
May,2022,Others,2618.19,2023-12-18
June,2022,MS-VI,2394.60,2023-12-18
June,2022,"MS Others",1288.51,2023-12-18
July,2022,ATF,1220.98,2023-12-18
July,2022,SKO,76.43,2023-12-18
July,2022,HSD-VI,6589.46,2023-12-18
August,2022,ATF,1204.66,2023-12-18
September,2022,ATF,1299.80,2023-12-18
September,2022,Others,2163.36,2023-12-18
October,2022,"HSD Others",1979.58,2023-12-18
October,2022,LUBES,109.93,2023-12-18
October,2022,FO,989.55,2023-12-18
November,2022,ATF,1184.47,2023-12-18
November,2022,BITUMEN,440.03,2023-12-18
November,2022,Others,2504.03,2023-12-18
December,2022,MS-VI,2386.63,2023-12-18
December,2022,HSD-VI,7235.03,2023-12-18
January,2023,NAPHTHA,1528.16,2023-12-18
January,2023,LUBES,125.75,2023-12-18
January,2023,BITUMEN,436.75,2023-12-18
February,2023,LPG,1005.14,2023-12-18
February,2023,"MS Others",1344.42,2023-12-18
March,2023,NAPHTHA,1487.28,2023-12-18
March,2023,MS-VI,2419.18,2023-12-18
March,2023,ATF,1442.28,2023-12-18
March,2023,HSD-VI,7519.69,2023-12-18
March,2023,LDO,79.14,2023-12-18
March,2023,BITUMEN,621.50,2023-12-18
April,2023,MS-VI,2177.77,2023-12-18
April,2023,FO,982.75,2023-12-18
May,2023,LPG,1144.52,2023-12-18
May,2023,LUBES,117.97,2023-12-18
June,2023,HSD-VI,7254.32,2023-12-18
June,2023,"HSD Others",2504.75,2023-12-18
April,2022,LPG,1093.25,2023-12-18
April,2022,"HSD Others",2902.90,2023-12-18
April,2022,LDO,59.92,2023-12-18
